epoch,accuracy,loss,val_accuracy,val_loss
0,0.7329999804496765,0.7484163045883179,0.7049999833106995,0.6689789295196533
1,0.8379999995231628,0.41084739565849304,0.8237500190734863,0.4120085835456848
2,0.859000027179718,0.3616918623447418,0.8612499833106995,0.3661504089832306
3,0.8840000033378601,0.27996113896369934,0.9024999737739563,0.2922884225845337
4,0.9169999957084656,0.23930862545967102,0.8899999856948853,0.3001478910446167
5,0.925000011920929,0.19798536598682404,0.90625,0.3111454248428345
6,0.9390000104904175,0.17932339012622833,0.9012500047683716,0.3828694522380829
7,0.9449999928474426,0.13962465524673462,0.9024999737739563,0.33684325218200684
8,0.9509999752044678,0.1363123208284378,0.8737499713897705,0.5539145469665527
9,0.9610000252723694,0.11845576763153076,0.9012500047683716,0.384744793176651
